2020-06-08 23:27:19 INFO  xerosite:65 - opening browser
2020-06-08 23:27:21 INFO  xerosite:18 - entering username and password
2020-06-08 23:27:24 INFO  xerosite:22 - submitted
2020-06-08 23:27:30 INFO  xerosite:18 - entering username and password
2020-06-08 23:27:35 INFO  xerosite:22 - submitted
2020-06-08 23:27:36 INFO  xerosite:18 - entering username and password
2020-06-08 23:27:41 INFO  xerosite:22 - submitted
2020-06-08 23:27:41 INFO  xerosite:18 - entering username and password
2020-06-08 23:27:46 INFO  xerosite:22 - submitted
2020-06-08 23:27:46 INFO  xerosite:18 - entering username and password
2020-06-08 23:27:54 INFO  xerosite:22 - submitted
